70	,6	,5	,4	,1	,130	,10	,280	,3	
120	,8	,8	,3	,5	,15	,2	,135	,3	
70	,5	,7	,4	,1	,260	,9	,320	,3	
50	,0	,8	,4	,0	,140	,14	,330	,3	
110	,8	,14	,2	,2	,200	,1	,-1	,3	
110	,10	,10.5	,2	,2	,180	,1.5	,70	,1	
110	,14	,11	,2	,0	,125	,1	,30	,2	
130	,8	,18	,3	,2	,210	,2	,100	,3	
90	,6	,15	,2	,1	,200	,4	,125	,1	
90	,5	,13	,3	,0	,210	,5	,190	,3	
120	,12	,12	,1	,2	,220	,0	,35	,2	
110	,1	,17	,6	,2	,290	,2	,105	,1	
120	,9	,13	,1	,3	,210	,0	,45	,2	
110	,7	,13	,3	,2	,140	,2	,105	,3	
110	,13	,12	,1	,1	,180	,0	,55	,2	
110	,3	,22	,2	,0	,280	,0	,25	,1	
100	,2	,21	,2	,0	,290	,1	,35	,1	
110	,12	,13	,1	,0	,90	,1	,20	,2	
110	,13	,12	,1	,1	,180	,0	,65	,2	
110	,7	,10	,3	,3	,140	,4	,160	,3	
100	,0	,21	,3	,0	,80	,1	,-1	,2	
110	,3	,21	,2	,0	,220	,1	,30	,3	
100	,10	,11	,2	,1	,140	,2	,120	,3	
100	,5	,18	,2	,0	,190	,1	,80	,3	
110	,13	,11	,2	,1	,125	,1	,30	,2	
110	,11	,14	,1	,0	,200	,1	,25	,1	
100	,7	,14	,3	,0	,0	,3	,100	,2	
120	,10	,12	,3	,2	,160	,5	,200	,3	
120	,12	,14	,3	,0	,240	,5	,190	,3	
110	,12	,13	,1	,1	,135	,0	,25	,2	
100	,15	,11	,2	,0	,45	,0	,40	,1	
110	,9	,15	,1	,1	,280	,0	,45	,2	
100	,5	,15	,3	,1	,140	,3	,85	,3	
110	,3	,17	,3	,0	,170	,3	,90	,3	
120	,4	,13	,3	,3	,75	,3	,100	,3	
120	,11	,12	,1	,2	,220	,1	,45	,2	
110	,10	,11.5	,3	,1	,250	,1.5	,90	,1	
110	,11	,14	,1	,0	,180	,0	,35	,1	
110	,6	,17	,2	,1	,170	,1	,60	,3	
140	,9	,20	,3	,1	,170	,2	,95	,3	
110	,3	,21	,2	,1	,260	,0	,40	,2	
100	,6	,12	,4	,2	,150	,2	,95	,2	
110	,12	,12	,2	,1	,180	,0	,55	,2	
100	,3	,16	,4	,1	,0	,0	,95	,2	
150	,11	,16	,4	,3	,95	,3	,170	,3	
150	,11	,16	,4	,3	,150	,3	,170	,3	
160	,13	,17	,3	,2	,150	,3	,160	,3	
100	,6	,15	,2	,1	,220	,2	,90	,1	
120	,9	,15	,2	,1	,190	,0	,40	,2	
140	,7	,21	,3	,2	,220	,3	,130	,3	
90	,2	,18	,3	,0	,170	,3	,90	,3	
130	,10	,13.5	,3	,2	,170	,1.5	,120	,1
120	,14	,11	,3	,1	,200	,6	,260	,1
100	,3	,20	,3	,0	,320	,1	,45	,3	
50	,0	,13	,1	,0	,0	,0	,15	,3	
50	,0	,10	,2	,0	,0	,1	,50	,3	
100	,6	,14	,4	,1	,135	,2	,110	,3	
100	,0	,18	,5	,2	,0	,2.7	,110	,1	
120	,12	,14	,3	,1	,210	,5	,240	,2	
100	,8	,10.5	,3	,2	,140	,2.5	,140	,3	
90	,6	,15	,2	,0	,0	,2	,110	,3	
110	,2	,23	,1	,0	,240	,0	,30	,1	
110	,3	,22	,2	,0	,290	,0	,35	,1	
80	,0	,16	,2	,0	,0	,3	,95	,1	
90	,0	,19	,3	,0	,0	,4	,140	,1	
90	,0	,20	,3	,0	,0	,3	,120	,1	
110	,15	,9	,2	,1	,70	,1	,40	,2	
110	,3	,16	,6	,0	,230	,1	,55	,1	
90	,5	,15	,2	,0	,15	,3	,90	,2	
110	,3	,21	,2	,1	,200	,0	,35	,3	
140	,14	,15	,3	,1	,190	,4	,230	,3	
100	,3	,16	,3	,1	,200	,3	,110	,3	
110	,3	,21	,2	,1	,250	,0	,60	,3	
110	,12	,13	,1	,1	,140	,0	,25	,2	
100	,3	,17	,3	,1	,230	,3	,115	,1	
100	,3	,17	,3	,1	,200	,3	,110	,1	
110	,8	,16	,2	,1	,200	,1	,60	,1	
